Ship,Class,Type,First commissioned,Fate,Country or organization,Displacement (tons)
Ammiraglio Caracciolo,Cagni,submarine,1 June 1941,"Scuttled after damage by HMS Ferndale, near Bardia, 11 December 1941",Regia Marina,"1,653"
Ammiraglio Millo,Cagni,submarine,1 May 1941,Sunk by British submarine HMS Ultimatum on 14 March 1942,Regia Marina,"1,653"
Ammiraglio Saint-Bon,Cagni,submarine,12 June 1941,Sunk by British submarine HMS Upholder on 5 January 1942,Regia Marina,"1,653"
Amritsar,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Amsterdam,Cleveland,light cruiser,08 January 1945,Scrapped 1971,United States,"11,800"
Anacapa,,Q-ship,31 August 1942,"Struck on 21/3/1946.Transferred to the Maritime Commission, refitted and saw further service as a merchant ship.",United States,"7,500"
Anchusa,Flower,corvette,01 March 1941,Broken up in Mauritius in October 1960,Royal Navy,925
Ancylus,Rapana,merchant aircraft carrier,01 October 1943,Scrapped at La Spezia  in December1954,Royal Navy,"16,000"
Andenes,Flower,corvette,01 October 1941,Unknown,Royal Norwegian Navy,925
Anderson,Sims,destroyer,19 May 1939,Sunk in nuclear bomb test 1946,United States,"1,570"
Andrea Doria,Andrea Doria,battleship,13 March 1916,Scrapped 1956,Regia Marina,"25,920"
Andres,Evarts,destroyer escort,15 March 1943,Scrapped 1946,United States,"1,140"
Andromeda,Spica,torpedo boat,06 December 1936,"Sunk 17 March 1941 at Valona, Albania, torpedoed by British bombers.",Regia Marina,795
Anemone,Flower,corvette,12 August 1940,Unknown,Royal Navy,925
Anfitrite,Sirena,submarine,5 August 1933,"Sunk, 6 March 1941",Regia Marina,691
Animoso,Ciclone,torpedo boat,15 April 1942,"Reparation to the USSR, 1949 as destroyer Ladny (Ладный), broken up 1958, sunk as target by P-15 missile, 28 August 1959.",Regia Marina,910
Annan,River,frigate,13 January 1944,paid off 20 June 1945,Royal Canadian Navy,"1,445"
Annapolis,Town,destroyer,24 September 1940,paid off 4 June 1945,Royal Canadian Navy,"1,190"
Anson,King George V,battleship,22 June 1942,Scrapped 1957,Royal Navy,"35,000"
Antares,Spica,torpedo boat,23 December 1936,Sank Greek submarine Proteus by ramming on 29 December 1940. Sunk 28 March 1943 at Livorno by USAAF bombers.,Regia Marina,795
Antelope,A,destroyer,20 March 1930,Scrapped 1946,Royal Navy,"1,350"
Anthony (DD-515),Fletcher,destroyer,26 February 1943,"To West Germany 1958, sunk as target 1979",United States,"2,050"
Anthony (H40),A,destroyer,14 February 1930,Scrapped 1948,Royal Navy,"1,350"
Antietam,Essex,aircraft carrier,28 January 1945,"Decommissioned 8 May 1963, scrapped 1974",United States,"30,800"
Antigonish,River,frigate,04 July 1944,paid off 30 November 1966,Royal Canadian Navy,"1,445"
Antiquois,Guadiana,destroyer,,former Douro (Portugal),Colombian National Navy,"1,219"
Antoine,,Special Service Ship,,paid off March 1941,Royal Navy,"1,030"
Antonio da Noli,Navigatori ,destroyer,15 March 1931,Sunk by mines in the Strait of Bonifacio on 9 September 1943. 218 were killed and 39 survivors among her crew.,Regia Marina,"1,900"
Antonio Mosto,Rosolino Pilo,torpedo boat,07 July 1915,Minesweeper 1953. Stricken 15 December 1958.,Regia Marina,912
Antonio Pigafetta,Navigatori ,destroyer,01 May 1931,"She rescued survivors from Trento after the Italian cruiser was torpedoed and sunk by British submarine HMS Umbra during Operation Vigorous, on 15 June 1942. Captured by the Germans after the Italian armistice with the Allies, served as TA44. Sunk at Trieste by air raid on 21 February 1945.",Regia Marina,"1,900"
Antonio Sciesa,Balilla,submarine,12 August 1928,"Damaged September 1942 at Benghazi, scuttled 12 November 1942",Regia Marina,"1,450"
Antoniotto Usodimare,Navigatori ,destroyer,21 November 1929,"Sank British submarine P38 on 25 February 1942. Sunk by submarine Alagi in a friendly fire incident on 8 June 1942 while escorting a convoy from Naples to Tripoli, 141 killed and 165 survivors.",Regia Marina,"1,900"
Aoba,Aoba,heavy cruiser,20 September 1927,Sunk 28 July 1945,Imperial Japanese Navy,"5,088"
Apollo,Abdiel,minelayer,09 October 1943,Scrapped 1962,Royal Navy,"2,650"
Aquila,Aquila,aircraft carrier,,Scrapped 1952,Regia Marina,"23,500"
Aquilone,Sauro,destroyer,03 August 1927,Sunk on mines laid by aircraft from HMS Illustrious outside Benghazi harbor with a loss of 13 men.,Regia Marina,"1,058"
ARA Libertad,Libertad,riverine battleship,26 November 1892,paid off  1947,Argentina,"2,336"
Arabis (I),Flower,corvette,05 April 1940,"to US 30 April 1942, to UK 26 August 1945",Royal Navy,925
Arabis (II),Flower modified,corvette,16 March 1944,paid off 1948,Royal New Zealand Navy,"1,015"
Aradam,Adua,submarine,18 October 1936,sunk on 4 September 1944 in Genoa by Allied bombers,Regia Marina,697
Äran,Äran,coastal defence ship,07 September 1902,"paid off 16 June 1947, scrapped 1961",Swedish Navy,"3,650"
Arbiter,Ruler,escort carrier,31 December 1943,"paid off 12 April 1946, scrapped 1972",Royal Navy,"7,800"
Arbutus (I),Flower,corvette,12 October 1940,sunk on 5 February 1942 by U-136,Royal Navy,925
Arbutus (II),Flower modified,corvette,05 July 1944,paid off 1948,Royal New Zealand Navy,"1,015"
Archer,Avenger,escort carrier,17 November 1941,"paid off 6 November 1943, scrapped 1962",Royal Navy,"8,200"
Archimede,Archimede,submarine,10 December 1933,"During the second half of 1936 she operated in Spanish waters covertly as Archimede. Transferred to the Spanish nationalist navy in April 1937, renamed General Mola. She sank the Republican transport Cabo Palos on 26 July 1937 and the Dutch freighter Hanna on 2 January 1938. She also damaged beyond repair the Greek Lena on 30 March. Stricken in 1959",Regia Marina,986
Archimede,Brin,submarine,5 March 1939,"Escaped from East Africa in 1941 to Bordeaux, Sunk by US Navy Catalina flying boats off Brazil 15 April 1943",Regia Marina,"1,000"
Arcona,,light cruiser,18 May 1901,Scrapped 1948/1949,Kriegsmarine,"2,657"
Ardent,A,destroyer,14 April 1930,Sunk 8 June 1940,Royal Navy,"1,350"
Ardente,Ciclone,torpedo boat,27 May 1942,Sank submarine HMS P48 on 25 December 1942. Sunk in collision with the destroyer Grecale 12 January 1943,Regia Marina,910
Ardimentoso,Ciclone,torpedo boat,27 June 1942,"Reparation to the USSR, 1949 as destroyer Liuty (Лютый), broken up 1960",Regia Marina,910
Ardito,Ciclone,torpedo boat,16 March 1942,"She sank submarine HMS Turbulent on 6 March 1943. The vessel took part of the action off Bastia along Aliseo, but she was eventually captured by the Germans in September 1943 and served as TA26. Either sunk 15 June 1944 by US Navy PT boats or destroyed by sabotage at Rapallo on 6 July 1944",Regia Marina,910
Aretusa,Spica,torpedo boat,01 July 1938,"On 2 December 1942, while escorting a three ship convoy, Aretusa shot down one of three Fairey Albacore that torpedoed the merchants south of Kerkennah Islands. One of the ships in the convoy was sunk by the aircraft, and one of the escorts, Lupo, was sunk by British destroyers while recovering survivors at night. The remaining ships reached destination next morning. Heavily damaged by airstrike on 13 April 1943, repaired a few months later. Survived the war and served in the post war Marina Militare. Decommissioned 1 August 1958.",Regia Marina,795
Argento,Acciaio,submarine,22 February 1942,sunk 3.8.43 by USS Buck,Regia Marina,697
Argo,Argo,submarine,31 August 1937,scuttled when German troops captured the shipyard on 10 September.,Regia Marina,793
Argonauta,Argonauta,submarine,19 January 1931,"Sunk by British aircraft, 28 June 1940",Regia Marina,660
Argus,,aircraft carrier,01 September 1918,Scrapped 1946,Royal Navy,"14,860"
Ariadne,Abdiel,minelayer,12 February 1944,Scrapped 1965,Royal Navy,"2,650"
Ariel,Spica,torpedo boat,01 July 1938,"Sunk 12 October 1940 in the battle of Cape Passero by British cruiser HMS Ajax, with the loss of 98 seamen between officers and ratings.",Regia Marina,795
Ariete,Ariete,torpedo boat,06 March 1942,"She was the only unit to be completed before the armistice. She was at La Spezia 8 September 1943 and arrived at Malta, then under Allied control, 20 September 1943. She was transferred as war reparation to Yugoslavia in 1949.",Regia Marina,745
Ariguani,,fighter catapult ship,01 January 1941,Damaged by U-83 in 26 Oct 1941,Royal Navy,"6,746"
Arizona,Pennsylvania,super dreadnought,17 October 1916,"Sunk 7 December 1941, war memorial",United States,"32,600"
Ark Royal,,aircraft carrier,16 December 1938,Sunk 14 November 1941,Royal Navy,"22,000"
Arkansas,Wyoming,battleship,17 September 1912,Sunk 25 July 1946 in A-bomb test,United States,"26,100"
Armada,Battle,destroyer,02 July 1945,"paid off 1960, scrapped 1965",Royal Navy,"2,325"
Armando Diaz,Cadorna class,light cruiser,29 April 1933,"Sunk by HMS Upright, 25 February 1941",Regia Marina,"5,406"
Armeria,Flower,corvette,28 March 1941,Unknown,Royal Navy,925
Arrow,A,destroyer,14 April 1930,"Irreparably damaged, 1944",Royal Navy,"1,350"
Arrowhead,Flower,corvette,22 November 1940,"to Canada 15 May 1941, paid off 27 June 1945",Royal Navy,925
Arteveld,,patrol boat,,Commissioned as Lorelei (Germany),Belgian Navy,"1,640"
Artigliere,Soldati,destroyer,14 November 1938,"Lost 13 October 1940, sunk by HMS York after being damaged at the Battle of Cape Passero the previous day. 122 survivors, the 132 casualties included the commanding officer (CO), Captain Carlo Margottini. The wreck was discovered in 2017.",Regia Marina,"1,850"
Arturo,Ariete,torpedo boat,27 March 1943,One of the German units which took part of the bombardment of Bastia on 1 March 1944. Sunk 18 March 1945 in the Battle of the Ligurian Sea by the British destroyers HMS Lookout and HMS Meteor.,Regia Marina,745
Arunta,Tribal,destroyer,30 March 1942,Scrapped 1968,Royal Australian Navy,"2,020"
Arvida,Flower,corvette,22 May 1941,paid off 14 June 1945,Royal Canadian Navy,925
Asbestos,Flower modified,corvette,16 June 1944,Sold 1947. Wrecked off Cuba 13 February 1949. Wreck salvaged and scrapped in March 1949 at New Orleans.,Royal Canadian Navy,"1,015"
Ascari,Soldati,destroyer,06 May 1939,"Sunk by mines, 24 March 1943",Regia Marina,"1,850"
Ascianghi,Adua,submarine,5 December 1937,"scuttled near Augusta, Sicily, on 23 July 1943, after attack by destroyers HMS Laforey and HMS Eclipse",Regia Marina,697
Ashanti,Tribal,destroyer,21 December 1938,Scrapped 1949,Royal Navy,"2,020"
Ashigara,Myōkō,heavy cruiser,20 August 1929,Sunk 8 June 1945,Imperial Japanese Navy,"13,300"
Asphodel,Flower,corvette,11 September 1940,sunk 10 March 1944 by U-575,Royal Navy,925
Assam,Flower modified,corvette,19 February 1945,paid off 1947,Royal Indian Navy,"1,015"
Assiniboine,C,destroyer,30 May 1932,"transferred to RCN  19 October 1939, paid off 8 August 1945",Royal Canadian Navy,"1,390"
Aster,Flower,corvette,09 April 1941,Unknown,Royal Navy,925
Asteria,Acciaio,submarine,25 June 1941,"sunk 17.2.43 by HMS Easton, HMS Wheatland,",Regia Marina,697
Asterion,,Q-ship,01 March 1942,transferred to Coast Guard 16 December 1943 converted to weather ship,United States,"6,610"
Astore,Spica,torpedo boat,30 May 1935,Sold to Sweden as Remus in 1940. Decommissioned 1958.,Regia Marina,795
Astoria (CA-34),New Orleans,heavy cruiser,28 April 1934,Sunk 9 August 1942 Battle of Savo Island,United States,"9,950"
Astoria (CL-90),Cleveland,light cruiser,17 May 1944,Scrapped 1971,United States,"11,800"
Atago,Takao,heavy cruiser,30 March 1932,Sunk 23 October 1944,Imperial Japanese Navy,"14,616"
Athabaskan,Tribal,destroyer,03 February 1943,Sunk 29 April 1944,Royal Canadian Navy,"2,020"
Atheling,Ruler,escort carrier,28 October 1943,"paid off 6 December 1946, scrapped 1967",Royal Navy,"7,800"
Atherstone,Hunt,destroyer escort,23 March 1940,"paid off 23 September 1945, scrapped 1957",Royal Navy,"1,000"
Atherton,Cannon,destroyer escort,29 August 1943,"To Japan 1955, to Philippines 1976, active as of 2012",United States,"1,240"
Atholl,Flower modified,corvette,14 October 1943,Sold for scrapping,Royal Canadian Navy,"1,015"
Atik,,Q-ship,05 March 1942,sunk 26 March 1942,United States,"6,610"
Atlanta (CL-104),Cleveland,light cruiser,03 December 1944,Sunk as target 1970,United States,"11,800"
Atlanta (CL-51),Atlanta,light cruiser,24 December 1941,Sunk 13 November 1942 Guadalcanal,United States,"6,000"
Atlantis,,auxiliary cruiser,19 December 1939,Sunk 21 November 1941,Kriegsmarine,"7,862"
Atropo,Foca,submarine,14 February 1939,"Discarded, 23 March 1947",Regia Marina,"1,326"
Attacker,Attacker,escort carrier,30 September 1942,"paid off 5 January 1946, scrapped 24 May 1980",Royal Navy,"11,400"
Attilio Regolo,Capitani Romani,light cruiser,01 August 1942,ceded to France 1948,Regia Marina,"3,750"
Attu,Casablanca,escort carrier,30 June 1944,Scrapped 1947,United States,"7,800"
Aubrietia,Flower,corvette,23 December 1940,Sold for scrap in 1966,Royal Navy,925
Audace,Audace,torpedo boat,01 September 1929,"By Germany, 12 September 1943",Regia Marina,922
Augusta,Northampton,heavy cruiser,30 January 1931,Scrapped 1960,United States,"9,200"
Aulick,Fletcher,destroyer,27 October 1942,"To Greece 1959, scrapped 1997",United States,"2,050"
Ault,Allen M. Sumner,destroyer,31 May 1944,Scrapped 1974,United States,"2,200"
Auricula,Flower,corvette,05 March 1941,"Mined in Courrier Bay, Madagascar on 6 May 1942. Foundered the next day while under tow.",Royal Navy,925
Auriga,Ariete,torpedo boat,15 April 1943,Lost 9 June 1944 to an air attack by P-47s of the U.S. 332d Fighter Group.,Regia Marina,745
Aurora,Aurora,minelayer,01 January 1939,"Sunk by Soviet aircraft, 1941",Romania,314
Aurora,,protected cruiser,29 July 1903,In 1957 became a museum ship.,Soviet Navy,"6,731"
Austin,Evarts,destroyer escort,13 February 1943,Scrapped 1947,United States,"1,140"
Australia,County,heavy cruiser,24 April 1928,Scrapped 1955,Royal Australian Navy,"9,850"
Avenger,Avenger,escort carrier,02 March 1942,Sunk 15 November 1942,Royal Navy,"8,200"
Aviere,Soldati,destroyer,31 August 1937,"Torpedoed and sunk by the British submarine HMS Splendid on 17 December 1942 during an escort mission from Naples to Bizerte, 220 crew lost including CO Captain Ignazio Castrogiovanni, 30 survivors.",Regia Marina,"1,850"
Avon Vale,Hunt,destroyer escort,17 February 1941,scrapped 1958,Royal Navy,"1,050"
Avorio,Acciaio,submarine,6 September 1941,sunk 8.2.43 by HMCS Regina,Regia Marina,697
Axum,Adua,submarine,27 September 1936,"scuttled near Morea on 28 December 1943, during a mission for the Allies",Regia Marina,697
Ayanami,Fubuki,destroyer,30 April 1930,Sunk 15 November 1942,Imperial Japanese Navy,"2,090"
Aylwin,Farragut,destroyer,01 March 1935,Scrapped 1947,United States,"1,365"
Azalea,Flower,corvette,27 January 1941,"Sold 5 April 1946 as mercantile Norte, and sank on 19 January 1955",Royal Navy,925
Babbitt,Wickes,destroyer,24 October 1919,scrapped 1946,United States,"1,190"
Bachaquero,Maracaibo,"landing ship, tank",01 August 1941,paid off 1945,Royal Navy,"4,193"
Bache,Fletcher,destroyer,14 November 1942,scrapped 1968,United States,"2,050"
Badger,Wickes,destroyer,29 May 1919,scrapped 1945,United States,"1,190"
Badsworth,Hunt,destroyer escort,18 August 1941,"paid off 16 November 1944, to Norway as Arendal 8 August 1944",Royal Navy,"1,050"
Bagley,Bagley,destroyer,12 June 1937,scrapped 1947,United States,"1,500"
Bahia,Bahia,light cruiser,01 January 1910,lost 4 July 1945,Brazil,"3,100"
Bailey (DD-492),Benson,destroyer,11 May 1942,"decommissioned 1946, sunk as target 1969",United States,"1,620"
Bainbridge,Clemson,destroyer,09 February 1921,scrapped 1945,United States,"1,200"
Bairoko,Commencement Bay,escort carrier,16 July 1945,"decommissioned 1955, scrapped 1960",United States,"10,200"
Baker,Cannon,destroyer escort,23 December 1943,"to France 1952, sunk as target 1970",United States,"1,240"
Balch,Porter,destroyer,20 October 1936,scrapped 1946,United States,"1,850"
Baldwin,Gleaves,destroyer,30 April 1943,"decommissioned 1946, scuttled 1961",United States,"1,630"
Baleno,Folgore,destroyer,15 June 1932,"Wrecked after running aground, 17 April 1941",Regia Marina,"1,225"
Balestra,Ariete,torpedo boat,,"Not completed during the war, damaged by air raid on slipway, subsequently completed for the Yugoslav Navy in 1949 as Učka; scrapped in 1971.",Regia Marina,745
Balilla,Balilla,submarine,20 February 1927,Transformed in barge and broken up in 1946,Regia Marina,"1,450"
Baltimore,Baltimore class,heavy cruiser,15 April 1943,"decommissioned 2 July 1954, scrapped 1972",United States,"17,200"
Banckert,Admiralen,destroyer,14 November 1930,Sunk as targetship September 1949,Royal Netherlands Navy,"1,337"
Bancroft,Benson,destroyer,30 April 1942,"decommissioned 1946, scrapped 1973",United States,"1,620"
Bangust,Cannon,destroyer escort,30 October 1943,"to Peru 1952, scrapped 1979",United States,"1,240"
Barb,Gato,submarine,02 April 1942,"sold to Italy as Enrico Tazzoli 1954, scrapped 1973",United States,2460
